model,subject,metric,noise_255,energy,exact_energy,ratio
AlexNet_training_seed_01,paul_20250428-20250430,neighborhood,8.0,30859.12198501491,30345.716696879048,1.0169185421871636
AlexNet_training_seed_01,paul_20250428-20250430,neighborhood,16.0,31773.17047566229,30345.716696879048,1.0470397121624104
AlexNet_training_seed_01,paul_20250428-20250430,smooth,0.5,27089.749306288002,30345.716696879048,0.8927042184201927
AlexNet_training_seed_01,paul_20250428-20250430,smooth,2.0,20894.47117626946,30345.716696879048,0.6885476255177188
AlexNet_training_seed_01,paul_20250428-20250430,smooth,8.0,9672.008546420338,30345.716696879048,0.3187273064938048
AlexNet_training_seed_01,paul_20250428-20250430,smooth,16.0,4596.976613065643,30345.716696879048,0.1514868361483921
AlexNet_training_seed_01,paul_20250428-20250430,step,0.5,28761.512990939187,30345.716696879048,0.9477948165876474
AlexNet_training_seed_01,paul_20250428-20250430,step,2.0,26136.51144204951,30345.716696879048,0.8612916182908132
AlexNet_training_seed_01,paul_20250428-20250430,step,8.0,20553.40667584622,30345.716696879048,0.6773083292496456
AlexNet_training_seed_01,paul_20250428-20250430,step,16.0,16754.536376888886,30345.716696879048,0.5521219532973506
AlexNet_training_seed_01,paul_20250428-20250430,variance,0.5,28088.72636260176,30345.716696879048,0.9256240886704972
AlexNet_training_seed_01,paul_20250428-20250430,variance,2.0,23656.252122422717,30345.716696879048,0.7795581946118834
AlexNet_training_seed_01,paul_20250428-20250430,variance,8.0,14555.10483912531,30345.716696879048,0.4796428103681022
AlexNet_training_seed_01,paul_20250428-20250430,variance,16.0,9421.774680351313,30345.716696879048,0.31048120479290936
AlexNet_training_seed_01,red_20250428-20250430,neighborhood,0.5,10846.789156210378,10856.722679401117,0.9990850348227476
AlexNet_training_seed_01,red_20250428-20250430,neighborhood,2.0,10866.80631394916,10856.722679401117,1.0009287917584166
AlexNet_training_seed_01,red_20250428-20250430,neighborhood,8.0,11085.11074836428,10856.722679401117,1.0210365573209763
AlexNet_training_seed_01,red_20250428-20250430,neighborhood,16.0,11482.655734798689,10856.722679401117,1.057653960028396
AlexNet_training_seed_01,red_20250428-20250430,smooth,0.5,9831.323271570298,10856.722679401117,0.905551662494212
AlexNet_training_seed_01,red_20250428-20250430,smooth,2.0,7770.868222504109,10856.722679401117,0.7157655631425569
AlexNet_training_seed_01,red_20250428-20250430,smooth,8.0,3880.681451777163,10856.722679401117,0.3574450196780039
AlexNet_training_seed_01,red_20250428-20250430,smooth,16.0,1978.765681755178,10856.722679401117,0.18226178748302813
AlexNet_training_seed_01,red_20250428-20250430,step,0.5,10397.53498401781,10856.722679401117,0.9577047596274572
AlexNet_training_seed_01,red_20250428-20250430,step,2.0,9622.335428225573,10856.722679401117,0.8863020372144538
AlexNet_training_seed_01,red_20250428-20250430,step,8.0,8083.846431965324,10856.722679401117,0.7445936191501991
AlexNet_training_seed_01,red_20250428-20250430,step,16.0,7121.30974377395,10856.722679401117,0.655935493064172
AlexNet_training_seed_01,red_20250428-20250430,variance,0.5,10157.489095500037,10856.722679401117,0.9355944142123329
AlexNet_training_seed_01,red_20250428-20250430,variance,2.0,8691.298571841817,10856.722679401117,0.8005453237128509
AlexNet_training_seed_01,red_20250428-20250430,variance,8.0,5620.566682601469,10856.722679401117,0.5177038088359381
AlexNet_training_seed_01,red_20250428-20250430,variance,16.0,3826.2771729562514,10856.722679401117,0.3524339053272491
AlexNet_training_seed_01,three0_250426-250501,neighborhood,0.5,36139.33177553895,36360.757358323004,0.9939103143369106
